x_value,total_1,total_2
0,1000,1000
1,994,1005
2,995,1002
3,992,1006
4,986,1002
5,990,1008
6,996,1006
7,993,1011
8,999,1015
9,1007,1019
10,1006,1018
11,1006,1013
12,1008,1009
13,1008,1007
14,1002,1008
15,1007,1011
16,1001,1010
17,1001,1006
18,1006,1008
19,1006,1010
20,1007,1005
21,1004,1000
22,1007,1006
23,1002,1009
24,1008,1014
25,1009,1014
26,1004,1012
27,1000,1014
28,999,1009
29,1002,1009
30,996,1011
31,993,1012
32,998,1013
33,1004,1018
34,1010,1015
35,1013,1013
36,1008,1012
37,1002,1017
38,1003,1022
39,1001,1024
40,996,1025
41,997,1024
42,998,1023
43,1002,1029
44,1006,1031
45,1008,1026
46,1012,1025
47,1012,1022
48,1018,1027
